Name,Team,Age,Yards,Completions,Attempts,YardsPerPass,Interceptions,Touchdowns
Tim Boyle,2TM,30,276,27,50,5.5,1,1
Kyler Murray,ARI,27,3851,372,541,7.1,11,21
Clayton Tune,ARI,25,8,2,2,4.0,0,0
Kirk Cousins,ATL,36,3508,303,453,7.7,16,18
Michael Penix,ATL,24,775,61,105,7.4,3,3
Darnell Mooney,ATL,27,0,0,1,0.0,0,0
Lamar Jackson,BAL,27,4172,316,474,8.8,4,41
Josh Johnson,BAL,38,17,2,3,5.7,0,0
Josh Allen,BUF,28,3731,307,483,7.7,6,28
Mitchell Trubisky,BUF,30,179,19,26,6.9,0,2
Mike White,BUF,29,28,3,11,2.5,0,0
Bryce Young,CAR,23,2403,234,384,6.3,9,15
Andy Dalton,CAR,37,989,106,160,6.2,6,7
Jalen Coker,CAR,23,19,1,1,19.0,0,0
Johnny Hekker,CAR,34,0,0,2,0.0,0,0
Caleb Williams,CHI,23,3541,351,562,6.3,6,20
Tyson Bagent,CHI,24,11,2,2,5.5,0,0
Keenan Allen,CHI,32,0,0,1,0.0,1,0
D.J. Moore,CHI,27,0,0,1,0.0,0,0
Joe Burrow,CIN,28,4918,460,652,7.5,9,43
Jameis Winston,CLE,30,2121,181,296,7.2,12,13
Deshaun Watson,CLE,29,1148,137,216,5.3,3,5
Dorian Thompson-Robinson,CLE,25,440,61,118,3.7,6,0
Bailey Zappe,CLE,25,170,16,31,5.5,2,1
Dak Prescott,DAL,31,1978,185,286,6.9,8,11
Cooper Rush,DAL,31,1844,187,308,6.0,5,12
Trey Lance,DAL,24,266,25,41,6.5,1,0
Bryan Anger,DAL,36,4,1,2,2.0,0,0
Bo Nix,DEN,24,3775,376,567,6.7,12,29
Courtland Sutton,DEN,29,30,2,2,15.0,0,1
Riley Dixon,DEN,31,3,1,1,3.0,0,0
Jared Goff,DET,30,4629,390,539,8.6,12,37
Hendon Hooker,DET,26,62,6,9,6.9,0,0
Jack Fox,DET,28,17,1,1,17.0,0,0
Amon-Ra St. Brown,DET,25,7,1,1,7.0,0,1
David Montgomery,DET,27,3,1,1,3.0,0,1
Penei Sewell,DET,24,0,0,0,,0,0
Jordan Love,GNB,26,3389,268,425,8.0,11,25
Malik Willis,GNB,25,550,40,54,10.2,0,3
C.J. Stroud,HOU,23,3727,336,532,7.0,12,20
Davis Mills,HOU,26,212,20,36,5.9,0,0
Stefon Diggs,HOU,31,13,1,1,13.0,0,0
Joe Mixon,HOU,28,0,0,1,0.0,0,0
Anthony Richardson,IND,22,1814,126,264,6.9,12,8
Joe Flacco,IND,39,1761,162,248,7.1,7,12
Adonai Mitchell,IND,22,24,1,1,24.0,0,0
Trevor Lawrence,JAX,25,2045,172,284,7.2,7,11
Mac Jones,JAX,26,1672,171,262,6.4,8,8
Patrick Mahomes,KAN,29,3928,392,581,6.8,11,26
Carson Wentz,KAN,32,118,12,19,6.2,0,0
Chris Oladokun,KAN,27,0,0,0,,0,0
Justin Herbert,LAC,26,3870,332,504,7.7,3,23
Taylor Heinicke,LAC,31,28,3,5,5.6,0,0
JK Scott,LAC,29,3,1,1,3.0,0,0
Matthew Stafford,LAR,36,3762,340,517,7.3,8,20
Jimmy Garoppolo,LAR,33,334,27,41,8.1,1,2
Tutu Atwell,LAR,25,0,0,1,0.0,0,0
Gardner Minshew II,LVR,28,2013,203,306,6.6,10,9
Aidan O'Connell,LVR,26,1612,154,243,6.6,4,8
Desmond Ridder,LVR,25,458,52,85,5.4,2,2
AJ Cole III,LVR,29,34,1,1,34.0,0,0
Jakobi Meyers,LVR,28,0,0,0,,0,0
Tua Tagovailoa,MIA,26,2867,291,399,7.2,7,19
Tyler Huntley,MIA,26,829,86,133,6.2,3,3
Skylar Thompson,MIA,27,187,21,33,5.7,0,0
Tim Boyle,MIA,30,153,15,26,5.9,0,0
Sam Darnold,MIN,27,4319,361,545,7.9,12,35
Nick Mullens,MIN,29,38,2,2,19.0,0,0
Justin Jefferson,MIN,25,22,1,1,22.0,0,0
Ty Chandler,MIN,26,0,0,0,,0,0
Derek Carr,NOR,33,2145,189,279,7.7,5,15
Spencer Rattler,NOR,24,1317,130,228,5.8,5,4
Jake Haener,NOR,25,226,18,39,5.8,1,1
Taysom Hill,NOR,34,21,2,4,5.3,1,0
Cedrick Wilson Jr.,NOR,29,21,1,1,21.0,0,1
Drake Maye,NWE,22,2276,225,338,6.7,10,15
Jacoby Brissett,NWE,32,826,95,161,5.1,1,2
Joe Milton,NWE,24,241,22,29,8.3,0,1
Kendrick Bourne,NWE,29,0,0,1,0.0,0,0
Daniel Jones,NYG,27,2070,216,341,6.1,7,8
Drew Lock,NYG,28,1071,107,181,5.9,5,6
Tommy DeVito,NYG,26,257,31,44,5.8,0,0
Tim Boyle,NYG,30,123,12,24,5.1,1,1
Malik Nabers,NYG,21,0,0,1,0.0,0,0
Aaron Rodgers,NYJ,41,3897,368,584,6.7,11,28
Tyrod Taylor,NYJ,35,119,17,22,5.4,0,3
Allen Lazard,NYJ,29,0,0,1,0.0,0,0
Jalen Hurts,PHI,26,2903,248,361,8.0,5,18
Tanner McKee,PHI,24,323,30,45,7.2,0,4
Kenny Pickett,PHI,26,291,25,42,6.9,1,2
Saquon Barkley,PHI,27,0,0,0,,0,0
Russell Wilson,PIT,36,2482,214,336,7.4,5,16
Justin Fields,PIT,25,1106,106,161,6.9,1,5
Kyle Allen,PIT,28,19,1,1,19.0,0,0
Miles Killebrew,PIT,31,0,0,1,0.0,0,0
Geno Smith,SEA,34,4320,407,578,7.5,15,21
Jaxon Smith-Njigba,SEA,22,35,1,1,35.0,0,0
Sam Howell,SEA,24,24,5,14,1.7,1,0
Brock Purdy,SFO,25,3864,300,455,8.5,12,20
Joshua Dobbs,SFO,29,361,32,47,7.7,2,2
Brandon Allen,SFO,32,199,17,30,6.6,2,1
Ricky Pearsall,SFO,24,0,0,1,0.0,0,0
Deebo Samuel,SFO,28,0,0,0,,0,0
Baker Mayfield,TAM,29,4500,407,570,7.9,16,41
Kyle Trask,TAM,26,5,1,1,5.0,0,0
Will Levis,TEN,25,2091,190,301,6.9,12,13
Mason Rudolph,TEN,29,1530,146,228,6.7,9,9
Tyler Boyd,TEN,30,0,0,1,0.0,0,0
Jayden Daniels,WAS,24,3568,331,480,7.4,9,25
Marcus Mariota,WAS,31,364,34,44,8.3,0,4
Dyami Brown,WAS,25,0,0,1,0.0,0,0
