Name,Team,Age,Yards,Position,Attempts,YardsPerGame,Fumbles,Touchdowns
Cam Akers,2TM,25,444,RB,104,26.1,1,2
Khalil Herbert,2TM,26,130,RB,36,9.3,1,1
Velus Jones Jr.,2TM,27,11,WR,3,3.7,1,0
Tim Boyle,2TM,30,9,QB,3,3.0,0,0
Jonathan Mingo,2TM,23,5,WR,2,0.3,1,0
Marquez Valdes-Scantling,2TM,30,4,WR,1,0.3,0,0
Davante Adams,2TM,32,0,WR,0,0.0,0,0
Andrew Beck,2TM,28,0,FB,0,0.0,0,0
Amari Cooper,2TM,30,0,WR,0,0.0,0,0
DeAndre Hopkins,2TM,32,0,WR,0,0.0,1,0
Josh Reynolds,2TM,29,0,WR,0,0.0,0,0
Mike Williams,2TM,30,0,WR,0,0.0,0,0
Diontae Johnson,3TM,28,6,WR,2,0.5,0,0
James Conner,ARI,29,1094,RB,236,68.4,4,8
Kyler Murray,ARI,27,572,QB,78,33.6,8,5
Trey Benson,ARI,21,291,RB,63,22.4,1,1
Emari Demercado,ARI,25,223,RB,24,17.2,0,1
Michael Carter,ARI,25,131,RB,35,43.7,0,1
Tony Jones,ARI,27,55,RB,4,55.0,0,1
DeeJay Dallas,ARI,26,49,RB,9,2.9,1,0
Greg Dortch,ARI,26,31,WR,5,1.8,3,0
Michael Wilson,ARI,24,7,WR,1,0.4,1,0
Trey McBride,ARI,25,2,TE,1,0.1,0,1
Marvin Harrison Jr.,ARI,22,0,WR,0,0.0,1,0
Elijah Higgins,ARI,24,0,TE,0,0.0,0,0
Zay Jones,ARI,29,0,WR,0,0.0,0,0
Tip Reiman,ARI,23,0,TE,0,0.0,0,0
Xavier Weaver,ARI,24,0,WR,0,0.0,0,0
Clayton Tune,ARI,25,-4,QB,7,-0.7,1,0
Bijan Robinson,ATL,22,1456,RB,304,85.6,1,14
Tyler Allgeier,ATL,24,644,RB,137,37.9,0,3
Ray-Ray McCloud,ATL,28,79,WR,10,4.6,4,0
Jase McClellan,ATL,22,32,RB,13,16.0,0,0
Michael Penix,ATL,24,11,QB,7,2.2,2,1
Kirk Cousins,ATL,36,0,QB,23,0.0,13,0
Chris Blair,ATL,27,0,WR,0,0.0,0,0
Ross Dwelley,ATL,29,0,TE,0,0.0,0,0
KhaDarel Hodge,ATL,29,0,WR,0,0.0,0,0
Darnell Mooney,ATL,27,0,WR,0,0.0,0,0
Kyle Pitts,ATL,24,0,TE,0,0.0,0,0
Casey Washington,ATL,23,0,WR,0,0.0,0,0
Charlie Woerner,ATL,27,0,TE,0,0.0,0,0
Drake London,ATL,23,-3,WR,1,-0.2,0,0
Derrick Henry,BAL,30,1921,RB,325,113.0,3,16
Lamar Jackson,BAL,27,915,QB,139,53.8,10,4
Justice Hill,BAL,27,228,RB,47,15.2,0,1
Zay Flowers,BAL,24,56,WR,9,3.3,0,0
Rasheen Ali,BAL,23,31,RB,10,5.2,0,0
Keaton Mitchell,BAL,22,30,RB,15,6.0,0,0
Mark Andrews,BAL,29,5,TE,4,0.3,0,0
Charlie Kolar,BAL,25,2,TE,1,0.2,0,0
Josh Johnson,BAL,38,1,QB,4,0.2,0,0
Diontae Johnson,BAL,28,0,WR,0,0.0,0,0
Nelson Agholor,BAL,31,0,WR,0,0.0,0,0
Rashod Bateman,BAL,25,0,WR,0,0.0,0,0
Isaiah Likely,BAL,24,0,TE,0,0.0,1,0
Anthony Miller,BAL,30,0,WR,0,0.0,0,0
Patrick Ricard,BAL,30,0,FB,0,0.0,0,0
Devontez Walker,BAL,23,0,WR,0,0.0,0,0
Tylan Wallace,BAL,25,0,WR,0,0.0,1,0
James Cook,BUF,25,1009,RB,207,63.1,1,16
Josh Allen,BUF,28,531,QB,102,31.2,5,12
Ray Davis,BUF,25,442,RB,113,26.0,0,3
Ty Johnson,BUF,27,213,RB,41,12.5,0,1
Curtis Samuel,BUF,28,14,WR,5,1.0,0,0
Keon Coleman,BUF,21,9,WR,1,0.7,0,0
Reggie Gilliam,BUF,27,7,FB,3,0.5,0,0
Khalil Shakir,BUF,24,4,WR,2,0.3,1,0
Mitchell Trubisky,BUF,30,1,QB,17,0.1,1,0
Marquez Valdes-Scantling,BUF,30,0,WR,0,0.0,0,0
Amari Cooper,BUF,30,0,WR,0,0.0,0,0
Zach Davidson,BUF,26,0,TE,0,0.0,0,0
Mack Hollins,BUF,31,0,WR,0,0.0,0,0
Dalton Kincaid,BUF,25,0,TE,0,0.0,1,0
Dawson Knox,BUF,28,0,TE,0,0.0,0,0
Quintin Morris,BUF,25,0,TE,0,0.0,0,0
